Category,Product,POS Code,30 Jan Count,12 Feb Count,Unit,Change,Status,Flag
LIFTED EDIBLES,Lifted ? (green/red packs),,,11,units,,UNIDENTIFIED,Photo needs ID
LIFTED EDIBLES,Lifted ? (red shelf display),,,8,units,,UNIDENTIFIED,Photo needs ID
CBD,Hashisha,858,5,5,units,0,NO CHANGE,
CBD,CBD Arouse,458,4,3,units,-1,SOLD,
CBD,CBD Erect,457,2,1,units,-1,SOLD,
CBD,CBD Bunny Men,459,4,4,units,0,NO CHANGE,
CBD,CBD Super Bunny Woman,466,3,4,units,+1,RESTOCKED,
CBD,MJ Cream,165,5,5,units,0,NO CHANGE,
CBD,Hairfood 250ml,822,4,4,units,0,NO CHANGE,
CBD,Hairfood 125ml,821,7,7,units,0,NO CHANGE,
CBD,Herbal Pain Balm,480,3,,units,,NOT COUNTED,MISSING
CBD,Pastilles CBD,437,5,,units,,NOT COUNTED,MISSING - or same as Medibles Pastilles?
CBD,Coffee Latte Lions Chaga,491,1,,units,,NOT COUNTED,MISSING
CBD,Cordyceps,716,0,,units,,NOT COUNTED,Was 0
CBD,Wave Hydration drink CBD,436,2,,units,,NOT COUNTED,MISSING
DRINKS,420 Magic,455,21,18,units,-3,SOLD,
DRINKS,Coder Fruit Juice,,,4,units,,NEW PRODUCT,
DRINKS,Sodaze,411,15,1,units,-14,SOLD,HIGH SELLER
DRINKS,Lucky Club Juice,330,13,0,units,-13,SOLD,All gone
DRINKS,Dope Watermelon,303,2,2,units,0,NO CHANGE,
DRINKS,Dope Pineapple,302,1,1,units,0,NO CHANGE,
DRINKS,Dope Grapefruit,301,5,5,units,0,NO CHANGE,
DRINKS,Water,304,31,,units,,NOT COUNTED,MISSING - had 31
DABS,Bud-Crum Combo,875,7,6,units,-1,SOLD,
DABS,Budder,836,7,6,units,-1,SOLD,
DABS,Crumble,189,8,8,units,0,NO CHANGE,
DABS,Wax Dab / Wax Bad,313,6,2,units,-4,SOLD,
VAPES,Cartridge Plug,,,23,units,,NEW PRODUCT,Not in 30 Jan POS
VAPES,Safari Smoke Cartridges,,,3,units,,NEW PRODUCT,Or = 1ml carts?
VAPES,1ml Carts,112,9,,units,,NOT COUNTED,MISSING - or = Safari Smoke?
VAPES,Disposable Vapes,118,14,,units,,NOT COUNTED,MISSING
VAPES,Disposable Vapes (Rossen),216,4,,units,,NOT COUNTED,MISSING
VAPES,20ml THC Oil Drops,134,7,,units,,NOT COUNTED,MISSING
BATTERIES,CCELL Sandwave / C Cell Battery,343,3,3,units,0,NO CHANGE,
BATTERIES,Cart Batteries / Batteries,113,2,2,units,0,NO CHANGE,
ACCESSORIES,DOT Torch Lighters,,,,units,,NEW,~50 in box
PRE-ROLLS OTHER,1500mg Pre-Roll Tubes,,,3,units,,NEW PRODUCT,
PRE-ROLLS OTHER,1g Pre-Rolls (tray),,,7,units,,UNIDENTIFIED,= Perfect Joint?
PRE-ROLLS OTHER,Perfect Joint (box),222,1,,units,,NOT COUNTED,MISSING
PRE-ROLLS OTHER,Perfect Joint (single),223,10,,units,,NOT COUNTED,= 1g Pre-Rolls tray?
OTHER,Game Changer,608,3,,units,,NOT COUNTED,MISSING
OTHER,Pink Cookies,538,0,,grams,,NOT COUNTED,Was 0
